Frame Offset, Frame Index, Frame Time (ms), Time from first frame (ms)
6,7,2144.454,2801.882011
7,8,2137.752,4946.336357
8,9,2149.387,7084.08831
9,10,2156.532,9233.475029
10,11,2146.042,11390.0075
11,12,2103.643,13536.04949
12,13,2163.485,15639.69256
13,14,2128.443,17803.17767
14,15,2116.623,19931.62078
15,16,2158.982,22048.24407
16,17,2119.472,24207.22625
17,18,2168.423,26326.69817
18,19,2100.432,28495.12103
19,20,2107.786,30595.55315
20,21,2164.037,32703.3388
21,22,2129.555,34867.37542
22,23,2118.083,36996.93035
23,24,2125.93,39115.0136
24,25,2087.538,41240.94378
25,26,2110.444,43328.48162
26,27,2191.071,45438.92547
27,28,2274.032,47629.99603
28,29,2641.263,49904.0285
29,30,2681.817,52545.29192
30,31,2633.215,55227.10882
31,32,2568.38,57860.32415
32,33,2676.008,60428.70403
33,34,2605.063,63104.7116
34,35,2751.749,65709.7741
35,36,2690.666,68461.52264
36,37,2652.589,71152.1889
37,38,2647.02,73804.77825
38,39,2734.04,76451.79827
39,40,2809.622,79185.83855
40,41,2734.909,81995.46062
41,42,2652.417,84730.37005
42,43,2689.17,87382.78655
43,44,2741.775,90071.95647
44,45,3376.753,92813.73162
45,46,2686.601,96190.48504
46,47,2658.736,98877.08562
47,48,2684.343,101535.8217
48,49,2689.378,104220.165
49,50,2576.332,106909.5429
50,51,2977.254,109485.8752
51,52,2583.701,112463.1296
52,53,2546.54,115046.8305
53,54,2557.14,117593.3703
54,55,2545.73,120150.5099
55,56,2545.069,122696.2402
56,57,2247.202,125241.309
57,58,2253.931,127488.5112
58,59,2228.819,129742.4421
59,60,2242.311,131971.2614
60,61,2247.486,134213.572
61,62,2307.376,136461.058
62,63,2233.464,138768.4345
63,64,2260.608,141001.8984
64,65,2238.176,143262.5065
65,66,2243.837,145500.6823
66,67,2244.02,147744.5197
67,68,2220.454,149988.5395
68,69,2240.869,152208.9936
69,70,2239.411,154449.8627
70,71,2226.045,156689.2734
71,72,2221.711,158915.3188
72,73,2238.4,161137.0295
73,74,2226.576,163375.4291
74,75,2239.107,165602.0053
75,76,2283.408,167841.1125
76,77,2211.699,170124.5204
77,78,2243.256,172336.2192
78,79,2246.829,174579.4753
79,80,2307.607,176826.3046
80,81,2248.812,179133.9113
81,82,2253.183,181382.7236
82,83,2234.085,183635.9062
83,84,2249.928,185869.9916
84,85,2251.062,188119.9201
85,86,2218.162,190370.9816
86,87,2233.548,192589.144
87,88,2231.86,194822.6921
88,89,2230.284,197054.5519
89,90,2281.32,199284.8361
90,91,2328.011,201566.1557
