Frame Offset, Frame Index, Frame Time (ms), Time from first frame (ms)
8,9,1659.543,3809.846378
9,10,1666.525,5469.389103
10,11,1664.711,7135.914127
11,12,1674.613,8800.625309
12,13,1658.635,10475.23798
13,14,1656.261,12133.87299
14,15,1652.899,13790.13361
15,16,1662.39,15443.03217
16,17,1656.386,17105.42218
17,18,1662.719,18761.80793
18,19,1673.141,20424.52643
19,20,1669.703,22097.66791
20,21,1659.219,23767.37079
21,22,1655.545,25426.5893
22,23,1658.685,27082.13385
23,24,2090.733,28740.81928
24,25,2305.707,30831.55219
25,26,2318.412,33137.25922
26,27,2321.786,35455.67157
27,28,2322.217,37777.45746
28,29,2332.17,40099.6745
29,30,2335.771,42431.84443
30,31,2356.161,44767.61493
31,32,2326.583,47123.77607
32,33,2321.8,49450.35883
33,34,2333.515,51772.15839
34,35,2319.952,54105.67328
35,36,2321.017,56425.62494
36,37,2171.725,58746.64203
37,38,2111.101,60918.36689
38,39,2122.436,63029.46772
39,40,2108.792,65151.90351
40,41,2117.293,67260.69501
41,42,2115.142,69377.98847
42,43,2098.978,71493.13056
43,44,2108.194,73592.10883
44,45,2119.822,75700.30268
45,46,2106.141,77820.12421
46,47,2123.688,79926.26508
47,48,2098.099,82049.95282
48,49,1887.033,84148.0517
49,50,1873.624,86035.08429
50,51,1891.935,87908.70844
51,52,1892.702,89800.64386
52,53,1889.932,91693.34601
53,54,1890.514,93583.27765
54,55,1891.224,95473.79132
55,56,1900.456,97365.01484
56,57,1889.267,99265.47113
57,58,1892.001,101154.7385
58,59,1887.78,103046.7394
59,60,1893.258,104934.5198
60,61,1902.529,106827.7778
61,62,2056.021,108730.3067
62,63,2134.785,110786.3279
63,64,2110.486,112921.1131
64,65,2109.689,115031.5989
65,66,2102.226,117141.2879
66,67,2105.986,119243.514
67,68,2103.651,121349.4996
68,69,2111.413,123453.1509
69,70,2124.922,125564.564
70,71,2116.327,127689.4861
71,72,2107.49,129805.8128
72,73,2105.933,131913.3023
73,74,2124.833,134019.2349
74,75,2110.453,136144.0674
75,76,2183.237,138254.5201
76,77,2304.969,140437.7567
77,78,2308.053,142742.7261
78,79,2141.621,145050.7794
79,80,2116.744,147192.4002
80,81,2151.831,149309.1439
81,82,2151.333,151460.9752
82,83,1782.816,153612.3082
83,84,1627.51,155395.1245
84,85,1613.064,157022.6341
85,86,1604.953,158635.6977
86,87,1606.65,160240.6507
87,88,1606.096,161847.301
88,89,1616.956,163453.3968
89,90,1619.196,165070.3524
90,91,1625.057,166689.5482
91,92,1627.925,168314.6054
92,93,1613.706,169942.5301
93,94,1655.779,171556.2359
94,95,1708.659,173212.0152
