Frame Offset, Frame Index, Frame Time (ms), Time from first frame (ms)
20,2649,110.2079,2116.493484
21,2650,132.3698,2226.701385
22,2651,153.6114,2359.071182
23,2652,204.7429,2512.682571
24,2653,240.5714,2717.425461
25,2654,282.4957,2957.996857
26,2655,290.6589,3240.492554
27,2656,309.3448,3531.151459
28,2657,323.1652,3840.496246
29,2658,341.7165,4163.661438
30,2659,323.8177,4505.37796
31,2660,313.6932,4829.195648
32,2661,319.9478,5142.888824
33,2662,338.4728,5462.836639
34,2663,310.3039,5801.309448
35,2664,314.1087,6111.613342
36,2665,303.0071,6425.722046
37,2666,293.3096,6728.729156
38,2667,290.3139,7022.038757
39,2668,277.5621,7312.352631
40,2669,269.4016,7589.914734
41,2670,254.9687,7859.316345
42,2671,255.7568,8114.285049
43,2672,261.265,8370.041855
44,2673,248.1142,8631.306839
45,2674,235.6005,8879.421051
46,2675,235.275,9115.021545
47,2676,227.1629,9350.296555
48,2677,215.8108,9577.459457
49,2678,209.7495,9793.270264
50,2679,212.4194,10003.01976
51,2680,199.542,10215.43915
52,2681,195.0418,10414.98114
53,2682,191.348,10610.02293
54,2683,177.7443,10801.37093
55,2684,180.0711,10979.11523
56,2685,177.6017,11159.18634
57,2686,179.4293,11336.78804
58,2687,175.8972,11516.21733
59,2688,175.7925,11692.11453
60,2689,180.8904,11867.90703
61,2690,175.5116,12048.79742
62,2691,176.5477,12224.30902
63,2692,160.311,12400.85672
64,2693,155.0315,12561.16772
65,2694,158.4779,12716.19923
66,2695,168.4038,12874.67714
67,2696,219.3599,13043.08095
68,2697,256.3622,13262.44086
69,2698,264.8812,13518.80307
70,2699,302.3735,13783.68427
71,2700,311.8215,14086.05777
72,2701,331.2438,14397.87927
73,2702,339.5624,14729.12308
74,2703,340.6915,15068.68549
75,2704,336.2871,15409.37698
76,2705,335.7628,15745.66409
77,2706,309.1669,16081.42691
78,2707,315.5347,16390.59381
79,2708,307.3166,16706.12851
80,2709,293.0464,17013.44513
81,2710,289.6544,17306.49152
82,2711,271.8549,17596.1459
83,2712,269.2235,17868.00082
84,2713,257.5255,18137.2243
85,2714,252.3146,18394.74982
86,2715,255.2212,18647.06441
87,2716,252.6846,18902.28561
88,2717,239.1741,19154.97021
89,2718,233.1479,19394.14432
90,2719,230.7544,19627.29222
91,2720,215.3892,19858.04662
92,2721,213.299,20073.43582
93,2722,213.4826,20286.73483
94,2723,199.9696,20500.21742
95,2724,194.6206,20700.18703
