Frame Offset, Frame Index, Frame Time (ms), Time from first frame (ms)
281,28865,29421.32,13985.00573
282,28866,29421.1,43406.32994
283,28867,29407.5,72827.4276
284,28868,29437.64,102234.9256
285,28869,29318.18,131672.5702
286,28870,28036,160990.7518
287,28871,28046.14,189026.7479
288,28872,31329.81,217072.8924
289,28873,40376.42,248402.701
290,28874,43304.68,288779.1229
291,28875,45038.17,332083.7987
292,28876,45657.81,377121.9706
293,28877,53150.95,422779.7792
294,28878,46419.21,475930.7245
295,28879,46431.42,522349.9393
296,28880,47080.53,568781.3573
297,28881,47745.64,615861.8846
298,28882,47598.77,663607.5292
