Frame Offset, Frame Index, Frame Time (ms), Time from first frame (ms)
5,6,2752.974,4572.564079
6,7,2747.998,7325.537956
7,8,2748.912,10073.53625
8,9,2806.111,12822.44836
9,10,2806.315,15628.55944
10,11,2798.907,18434.87438
11,12,2802.412,21233.78136
12,13,2748.867,24036.19372
13,14,2725.51,26785.06042
14,15,2752.395,29510.57092
15,16,2748.796,32262.96545
16,17,2757.571,35011.7611
17,18,2742.964,37769.3319
18,19,2742.057,40512.29601
19,20,2722.074,43254.35314
20,21,2735.805,45976.4276
21,22,2751.345,48712.23302
22,23,2759.366,51463.57824
23,24,2739.517,54222.94421
24,25,2760.087,56962.46154
25,26,2724.7,59722.54894
26,27,2749.544,62447.24914
27,28,2758.354,65196.79333
28,29,2725.071,67955.14733
29,30,2741.193,70680.21789
30,31,2730.197,73421.411
31,32,2729.279,76151.60754
32,33,2732.939,78880.88683
33,34,2755.299,81613.82555
34,35,2737.066,84369.12438
35,36,2734.908,87106.19079
36,37,2767.95,89841.09924
37,38,2742.576,92609.04894
38,39,2736.472,95351.62536
39,40,2744.033,98088.09777
40,41,2745.859,100832.131
41,42,2733.637,103577.9903
42,43,2747.822,106311.6271
43,44,2755.076,109059.4491
44,45,2763.824,111814.5248
45,46,2897.642,114578.3485
46,47,2999.501,117475.9906
47,48,2749.984,120475.4916
48,49,2741.826,123225.4757
49,50,2777.506,125967.3021
50,51,2737.588,128744.808
51,52,2747.7,131482.3956
52,53,2739.809,134230.0961
53,54,2729.26,136969.9047
54,55,2723.26,139699.1642
55,56,2761.97,142422.4242
56,57,2723.187,145184.3939
57,58,2722.764,147907.5807
58,59,2736.606,150630.3448
59,60,2741.044,153366.9513
60,61,2732.996,156107.9952
61,62,2732.968,158840.9911
62,63,2750.952,161573.9593
63,64,2724.874,164324.9115
64,65,2727.494,167049.7853
65,66,2738.613,169777.2792
66,67,2757.03,172515.8922
67,68,2745.427,175272.922
68,69,2756.708,178018.3487
69,70,2728.457,180775.0565
70,71,2770.202,183503.5131
71,72,2740.158,186273.7152
72,73,2729.946,189013.8736
73,74,2751.938,191743.8195
74,75,2739.454,194495.757
75,76,2730.567,197235.2108
76,77,2782.039,199965.7782
77,78,2801.687,202747.8173
78,79,2760.205,205549.5038
79,80,2725.479,208309.7091
80,81,2746.454,211035.1879
81,82,2738.088,213781.6422
82,83,2764.096,216519.7299
83,84,2739.259,219283.826
84,85,2765.138,222023.0846
85,86,2754.212,224788.2228
86,87,2740.617,227542.4352
87,88,2740.544,230283.0526
88,89,2768.965,233023.5965
89,90,2735.215,235792.5614
90,91,2737.764,238527.7765
91,92,2746.926,241265.5406
92,93,2744.627,244012.4669
93,94,2756.795,246757.0939
94,95,2734.199,249513.8885
95,96,2744.156,252248.0873
96,97,2730.998,254992.2438
97,98,2747.996,257723.2416
98,99,2767.609,260471.2374
99,100,2765.097,263238.8461
100,101,2742.069,266003.9435
101,102,2751.403,268746.0126
102,103,2792.237,271497.4152
103,104,2734.341,274289.6522
104,105,2743.38,277023.9933
105,106,2728.802,279767.3729
106,107,2727.366,282496.1747
107,108,2745.57,285223.5411
108,109,2753.683,287969.1114
