Frame Offset, Frame Index, Frame Time (ms), Time from first frame (ms)
7,8,1729.12,2862.892723
8,9,1728.569,4592.012474
9,10,1722.037,6320.581688
10,11,1729.141,8042.618797
11,12,1737.061,9771.759544
12,13,1726.102,11508.82082
13,14,1718.339,13234.92287
14,15,1724.471,14953.26138
15,16,1724.025,16677.73244
16,17,1720.309,18401.7571
17,18,1748.439,20122.06631
18,19,1731.752,21870.50552
19,20,1718.728,23602.25747
20,21,1727.72,25320.98525
21,22,1723.004,27048.70486
22,23,1725.599,28771.70852
23,24,1723.753,30497.30703
24,25,1720.354,32221.06008
25,26,1738.719,33941.41409
26,27,1749.732,35680.13332
27,28,1717.999,37429.86514
28,29,1724.936,39147.86404
29,30,1739.803,40872.80032
30,31,1728.718,42612.60354
31,32,1724.544,44341.32192
32,33,1726.592,46065.8655
33,34,1722.683,47792.4573
34,35,1725.971,49515.14077
35,36,1748.578,51241.1116
36,37,1723.182,52989.68984
37,38,1739.542,54712.87185
38,39,1722.691,56452.41409
39,40,1726.85,58175.10513
40,41,1735.313,59901.95522
41,42,1724.291,61637.2687
42,43,1725.716,63361.55947
43,44,1723.443,65087.27578
44,45,1740.075,66810.71889
45,46,1716.602,68550.79372
46,47,1727.737,70267.39553
47,48,1735.634,71995.13296
48,49,1729.947,73730.7665
49,50,1730.822,75460.71352
50,51,1720.27,77191.53567
51,52,1714.751,78911.80544
52,53,1745.333,80626.55618
53,54,1711.057,82371.88894
54,55,1715.981,84082.94558
55,56,1718.649,85798.92678
56,57,1718.745,87517.57534
57,58,1716.077,89236.32021
58,59,1729.875,90952.39712
59,60,1716.262,92682.27163
60,61,1714.398,94398.53335
61,62,1721.223,96112.93142
62,63,1726.81,97834.15408
63,64,1703.215,99560.96413
64,65,1714.445,101264.1795
65,66,1718.375,102978.6245
66,67,1732.825,104697
67,68,1744.469,106429.825
68,69,1718.745,108174.2935
69,70,1730.221,109893.0388
70,71,1747.644,111623.2594
71,72,1730.673,113370.9036
72,73,1715.031,115101.577
73,74,1721.853,116816.6079
74,75,1729.859,118538.4611
75,76,1737.607,120268.3198
76,77,1733.491,122005.9264
77,78,1732.748,123739.4177
78,79,1719.141,125472.1657
79,80,1727.442,127191.3065
80,81,1725.217,128918.7481
81,82,1728.207,130643.9647
82,83,1726.33,132372.1718
83,84,1728.183,134098.5015
84,85,1727.08,135826.6841
85,86,1730.845,137553.7644
86,87,1733.847,139284.6092
87,88,1748.684,141018.4563
88,89,1731.559,142767.1405
89,90,1733.423,144498.6991
90,91,1725.44,146232.1217
91,92,1724.714,147957.562
92,93,1728.076,149682.276
93,94,1747.194,151410.3517
94,95,1725.102,153157.5459
95,96,1724.852,154882.6482
96,97,1730.282,156607.5001
97,98,1733.56,158337.7826
98,99,1728.608,160071.3422
99,100,1722.104,161799.95
100,101,1722.942,163522.054
101,102,1729.643,165244.9959
102,103,1731.608,166974.6385
103,104,1730.091,168706.2466
104,105,1750.992,170436.3374
105,106,1739.021,172187.3297
106,107,1725.028,173926.3502
107,108,1735.119,175651.3778
108,109,1725.688,177386.4967
109,110,1720.535,179112.1845
110,111,1731.528,180832.7191
111,112,1740.695,182564.2476
112,113,1741.87,184304.9423
113,114,1726.759,186046.8124
114,115,1726.495,187773.5716
115,116,1753.3,189500.067
116,117,1730.849,191253.3667
117,118,1711.875,192984.2156
118,119,1736.84,194696.0911
119,120,1741.679,196432.9307
