Frame Offset, Frame Index, Frame Time (ms), Time from first frame (ms)
4,5,3469.99,2125.982651
5,6,3439.6,5595.972641
6,7,3441.64,9035.572983
7,8,3424.631,12477.21263
8,9,3449.99,15901.84398
9,10,3440.76,19351.83348
10,11,3463.723,22792.59398
11,12,3434.249,26256.31664
12,13,3426.161,29690.5659
13,14,3447.9,33116.72655
14,15,3436.105,36564.62645
15,16,3461.829,40000.73167
16,17,3435.865,43462.56078
17,18,3447.499,46898.42577
18,19,3439.881,50345.92479
19,20,3453.111,53785.8054
20,21,3423.688,57238.91649
21,22,3432.891,60662.60423
22,23,3434.45,64095.4951
23,24,3418.572,67529.9453
24,25,3456.292,70948.51683
25,26,3418.776,74404.80882
26,27,3428.539,77823.58495
27,28,3441.376,81252.12425
28,29,3446.797,84693.50072
29,30,3429.193,88140.29808
30,31,3410.792,91569.4912
31,32,3437.966,94980.28343
32,33,3429.587,98418.24974
33,34,3435.742,101847.8369
34,35,3418.981,105283.5788
35,36,3437.045,108702.56
36,37,3463.808,112139.6047
37,38,3437.023,115603.4128
38,39,3443.574,119040.4358
39,40,3431.594,122484.01
40,41,3433.298,125915.6037
41,42,3430.833,129348.9018
42,43,3425.105,132779.7353
43,44,3430.382,136204.8408
44,45,3424.056,139635.2226
45,46,3441.603,143059.279
46,47,3424.872,146500.8818
47,48,3432.616,149925.7534
48,49,3406.492,153358.3691
49,50,3423.14,156764.8616
50,51,3433.71,160188.0012
51,52,3452.412,163621.7112
52,53,3437.215,167074.123
53,54,3423.566,170511.3384
54,55,3450.132,173934.904
55,56,3437.951,177385.0364
56,57,3442.267,180822.9875
57,58,3417.026,184265.2544
58,59,3454.123,187682.2805
59,60,3428.622,191136.4031
60,61,3425.138,194565.0251
61,62,3419.336,197990.1633
62,63,3414.035,201409.4995
63,64,3445.203,204823.5347
64,65,3431.215,208268.7378
65,66,3423.93,211699.9529
66,67,3415.835,215123.8826
67,68,3427.664,218539.7175
68,69,3427.199,221967.3818
69,70,3442.691,225394.581
70,71,3420.987,228837.2722
71,72,3441.769,232258.2588
72,73,3439.473,235700.0278
73,74,3425.255,239139.5007
74,75,3424.756,242564.7561
75,76,3448.022,245989.5117
76,77,3419.457,249437.5342
77,78,3427.354,252856.9912
78,79,3426.407,256284.3454
79,80,3423.848,259710.7529
80,81,3433.664,263134.6011
81,82,3435.992,266568.2646
82,83,3429.959,270004.2563
83,84,3429.264,273434.2156
84,85,3421.836,276863.4797
85,86,3430.503,280285.3159
86,87,3438.129,283715.8188
87,88,3442.631,287153.9477
88,89,3430.914,290596.5786
89,90,3460.435,294027.4924
90,91,3443.029,297487.927
91,92,3431.385,300930.9563
92,93,3471.782,304362.3413
93,94,3433.548,307834.1233
94,95,3443.014,311267.6716
95,96,3458.672,314710.6855
96,97,3468.829,318169.3572
97,98,3452.017,321638.1863
98,99,3471.144,325090.2036
