Frame Offset, Frame Index, Frame Time (ms), Time from first frame (ms)
0,10472,2.8099,0
1,10473,2.5811,2.809900045
2,10474,2.9751,5.391000032
3,10475,3.0827,8.366100073
4,10476,2.6859,11.44880009
5,10477,2.7895,14.13470006
6,10478,2.8454,16.92420006
7,10479,2.5822,19.76960015
8,10480,2.7905,22.3518002
9,10481,3.0584,25.14230013
10,10482,2.5627,28.20070004
11,10483,2.6301,30.76340008
12,10484,2.4772,33.39350009
13,10485,2.7977,35.87070012
14,10486,2.3661,38.66840005
15,10487,2.8909,41.03450012
16,10488,2.6894,43.92540002
17,10489,2.7959,46.61479998
18,10490,2.8096,49.41070008
19,10491,2.6682,52.22029996
20,10492,2.9302,54.88849998
21,10493,2.9945,57.81870008
22,10494,2.7747,60.8132
23,10495,2.9945,63.58789992
24,10496,2.9044,66.58239985
25,10497,2.6946,69.48679996
26,10498,2.932,72.18140006
27,10499,2.6073,75.11339998
28,10500,2.6737,77.72070003
29,10501,2.6398,80.39440012
30,10502,2.6575,83.03420019
31,10503,2.657,85.69170022
32,10504,2.8724,88.34870028
33,10505,2.5069,91.22110033
34,10506,2.7358,93.7280004
35,10507,2.648,96.46380043
36,10508,2.774,99.11180043
37,10509,2.7857,101.8858004
38,10510,6.2086,104.6715004
39,10511,3.9727,110.8801005
40,10512,3,114.8528004
41,10513,2.7703,117.8528004
42,10514,2.6163,120.6231003
43,10515,4.5553,123.2394004
44,10516,3.2741,127.7947001
45,10517,2.6926,131.0688002
46,10518,2.5948,133.7614002
47,10519,2.4506,136.3562002
48,10520,2.8467,138.8068001
49,10521,2.5621,141.6535001
50,10522,2.7614,144.2156
51,10523,3.0242,146.977
52,10524,2.6475,150.0012
53,10525,4.0353,152.6487
54,10526,3.1202,156.6839998
55,10527,2.9871,159.8041997
56,10528,2.6114,162.7912996
57,10529,2.8682,165.4026995
58,10530,4.6813,168.2708995
59,10531,5.1507,172.9521997
60,10532,3.9539,178.1028998
61,10533,3.6571,182.0567999
62,10534,3.0906,185.7138999
63,10535,2.7019,188.8044999
64,10536,2.6898,191.5063999
65,10537,2.5884,194.1961999
66,10538,2.5998,196.7845998
67,10539,2.3573,199.3843999
68,10540,2.5603,201.7416999
69,10541,2.6666,204.302
70,10542,3.0097,206.9686
71,10543,2.69,209.9783001
72,10544,2.452,212.6683002
73,10545,3.0482,215.1203001
74,10546,3.8756,218.1684999
75,10547,3.7771,222.0441
76,10548,3.2224,225.8212001
77,10549,2.8465,229.0436001
78,10550,3.0294,231.8901
79,10551,3.274,234.9195001
80,10552,2.9218,238.1935
81,10553,3.6818,241.1152999
82,10554,3.0635,244.7970998
83,10555,2.845,247.8605998
84,10556,2.5508,250.7055998
85,10557,2.179,253.2563999
86,10558,2.4875,255.4353998
87,10559,2.921,257.9228997
88,10560,2.6279,260.8438997
89,10561,2.6606,263.4717996
90,10562,3.2469,266.1323996
91,10563,2.7811,269.3792996
92,10564,2.9728,272.1603997
93,10565,3.0134,275.1331997
94,10566,2.8983,278.1465998
95,10567,2.7519,281.0448997
96,10568,2.5999,283.7967997
97,10569,2.6352,286.3966997
98,10570,2.783,289.0318997
99,10571,2.7954,291.8148997
100,10572,2.4934,294.6102996
101,10573,2.8044,297.1036997
102,10574,2.8315,299.9080997
103,10575,2.7377,302.7395997
104,10576,2.68,305.4772997
105,10577,2.6591,308.1572998
106,10578,2.811,310.8163998
107,10579,2.5651,313.6273999
108,10580,2.6308,316.1924999
109,10581,2.769,318.8232999
110,10582,2.8617,321.5922999
111,10583,3.1562,324.454
112,10584,3.0006,327.6101999
113,10585,2.6349,330.6108
114,10586,2.7762,333.2457001
115,10587,2.6419,336.0219002
116,10588,2.3777,338.6638002
117,10589,2.7527,341.0415003
118,10590,2.6731,343.7942004
119,10591,2.62,346.4673004
120,10592,2.6874,349.0873003
121,10593,2.9494,351.7747004
122,10594,3.0914,354.7241004
123,10595,2.8078,357.8155003
124,10596,2.6382,360.6233003
125,10597,2.6969,363.2615004
126,10598,2.7817,365.9584002
127,10599,2.8707,368.7401001
128,10600,2.5873,371.6108
129,10601,3.7033,374.1981001
130,10602,2.905,377.9014001
131,10603,2.6117,380.8064001
132,10604,2.5547,383.4181001
133,10605,3.1466,385.9728
134,10606,2.814,389.1194
135,10607,2.7305,391.9333999
136,10608,2.5857,394.6638999
137,10609,2.765,397.2495999
138,10610,2.5492,400.0146
139,10611,2.5002,402.5638001
140,10612,2.7967,405.0640001
141,10613,2.7997,407.8607001
142,10614,2.6127,410.6604002
143,10615,2.889,413.2731001
144,10616,2.8294,416.1621001
145,10617,2.7644,418.9915001
146,10618,2.682,421.7559001
147,10619,3.0061,424.4379001
148,10620,3.0563,427.444
149,10621,3.4335,430.5002999
150,10622,3.3442,433.9338
151,10623,2.8481,437.2779999
152,10624,3.5789,440.1260998
153,10625,2.8209,443.7049999
154,10626,3.5504,446.5258999
155,10627,3.1352,450.0762999
156,10628,2.7981,453.2114999
157,10629,2.7956,456.0095999
158,10630,2.7507,458.8051999
159,10631,2.7363,461.5558999
160,10632,3.0015,464.2921999
161,10633,3.2396,467.2936997
162,10634,2.6778,470.5332997
163,10635,2.8345,473.2110996
164,10636,2.892,476.0455997
165,10637,2.5132,478.9375997
166,10638,2.4859,481.4507997
167,10639,2.8894,483.9366996
168,10640,2.9842,486.8260996
169,10641,3.5197,489.8102996
170,10642,3.0993,493.3299997
171,10643,2.6823,496.4292996
172,10644,2.7578,499.1115997
173,10645,2.6637,501.8693998
174,10646,2.6137,504.5330999
175,10647,4.0638,507.1467998
176,10648,2.9496,511.2105997
177,10649,2.6919,514.1601996
178,10650,2.7694,516.8520997
179,10651,2.5128,519.6214995
180,10652,2.7086,522.1342995
181,10653,2.9147,524.8428996
182,10654,2.7608,527.7575996
183,10655,2.4263,530.5183995
184,10656,2.6435,532.9446995
185,10657,2.5294,535.5881996
186,10658,3.2181,538.1175997
187,10659,3.4339,541.3356998
188,10660,3.2309,544.7695997
189,10661,2.5354,548.0004997
190,10662,2.2474,550.5358996
191,10663,2.8183,552.7832997
192,10664,2.6131,555.6015997
193,10665,2.665,558.2146997
194,10666,2.7696,560.8796997
195,10667,2.4767,563.6492996
196,10668,2.9186,566.1259997
197,10669,2.6541,569.0445998
198,10670,2.8743,571.6986997
199,10671,3.3721,574.5729997
200,10672,3.1502,577.9450996
201,10673,2.6713,581.0952995
202,10674,2.7646,583.7665994
203,10675,2.6483,586.5311995
204,10676,2.6365,589.1794994
205,10677,2.5602,591.8159993
206,10678,2.5817,594.3761992
207,10679,6.5986,596.9578993
208,10680,15.7353,603.5564992
209,10681,7.5973,619.2917993
210,10682,4.5998,626.8890994
211,10683,3.143,631.4888995
212,10684,2.7967,634.6318994
213,10685,2.7591,637.4285994
214,10686,4.4283,640.1876993
215,10687,3.0925,644.6159992
216,10688,3.3706,647.7084992
217,10689,3.032,651.0790992
218,10690,2.8988,654.1110992
219,10691,4.1665,657.0098991
220,10692,2.9654,661.1763992
221,10693,2.7793,664.1417992
222,10694,2.9378,666.9210992
223,10695,2.7703,669.8588991
224,10696,2.7082,672.629199
225,10697,2.7812,675.337399
226,10698,2.6642,678.1185989
227,10699,2.8346,680.782799
228,10700,2.4383,683.617399
229,10701,2.9938,686.0556989
230,10702,2.8851,689.0494988
231,10703,2.9068,691.9345987
232,10704,2.934,694.8413987
233,10705,2.8084,697.7753987
234,10706,2.479,700.5837986
235,10707,2.8865,703.0627987
236,10708,3.4862,705.9492986
237,10709,2.8638,709.4354987
238,10710,2.9114,712.2992988
239,10711,2.766,715.2106988
240,10712,2.5569,717.9766989
241,10713,2.6315,720.5335989
242,10714,2.8933,723.1650989
243,10715,3.0036,726.058399
244,10716,2.7307,729.0619988
245,10717,2.6271,731.7926989
246,10718,2.5137,734.4197989
247,10719,2.653,736.9334989
248,10720,2.6235,739.5864987
249,10721,2.6001,742.2099988
250,10722,2.962,744.8100989
